XTSE/FRX_WT_UADJ,Fennec Pharmaceuticals Inc (FRX.WT) Unadjusted Stock Prices
XTSE/DEJ_UADJ,Dejour Energy Inc (DEJ) Unadjusted Stock Prices
XTSE/TPH_RT_UADJ,Temple Hotels Inc (TPH.RT) Unadjusted Stock Prices
XTSE/BRK_UN,Brick Group Income Fund
XTSE/TLM,"Talisman Energy, Inc."
XTSE/BPP,Bpo Properties Ltd
XTSE/BE_PR_A_1,Brompton Equity Split Corp.
XTSE/ICE_UN,Versacold Income Fund
XTSE/CMQ_UN,CANMARC Real Estate Investment Trust
XTSE/MLC,Merrill Lynch & Co Canada
XTSE/CPM_UN,Copernican International Premium Dividend Fund
XTSE/CM_PR_M,Canadian Imperial Bank Of Commerce
XTSE/ROC,Rothmans Inc.
XTSE/ZXC,BMO Asset Management Inc
XTSE/RDZ,Renewable Energy Developers Inc.
XTSE/CIU_PR_B,CU Inc.
XTSE/LB_PR_D,Laurentian Bank Of Canada
XTSE/IE,Ivanhoe Energy Inc.
XTSE/BND_UN,Investment Grade Trust
XTSE/PRP,ProSep Inc
XTSE/BSN_PR_A,BNS Split Corp
XTSE/BSY,Biosyntech Inc
XTSE/NA_PR_N,National Bank Of Canada
XTSE/PWF_PR_J,Power Financial Corporation
XTSE/HMU,BetaPro Management Inc.
XTSE/CIC_1,CanBanc Income Corp
XTSE/NRG,Alter NRG Corp
XTSE/HAV_A,AlphaPro Management Inc
XTSE/LSC_PR_C,Lifeco Split Corp. Inc.
XTSE/ERF_UN,Enerplus Resources Fund
XTSE/BFC_UN,BFI Canada Income Fund
XTSE/CWI_UN,Consumers` Waterheater Income Fund (The)
XTSE/FRF_A,First Asset Investment Management Inc
XTSE/GLF_UN,Golf Town Income Fund
XTSE/FHM_UN,First Trust-Highland Capital Floating Rate Income Fund II
XTSE/RLC,Regal Lifestyle Communities Inc
XTSE/ISC,IROC Energy Services Corp
XTSE/RSI_UN,Rogers Sugar Income Fund
XTSE/GSV_UN,Aberdeen G7 Trust
XTSE/SLX,Genco Resources Ltd.
XTSE/NXY,Nexen Inc.
XTSE/GH_UN,Gamehost Income Fund.
XTSE/MB,Mega Brands Inc
XTSE/MTM,Mitec Technologies Inc
XTSE/TXL_UN,First Asset Energy & Resource Income & Growth Fund
XTSE/HAX_A,Horizons ETFs Management (Canada) Inc
XTSE/MID_A,MINT Income Fund
XTSE/GRT,Granite Real Estate Inc
XTSE/BDI_UN,Black Diamond Income Fund
XTSE/RBO_UN,Resolve Business Outsourcing Income Fund
XTSE/CM_PR_I,Canadian Imperial Bank Of Commerce
XTSE/HNC,Hard Creek Nickel Corp.
XTSE/NXY_PR_A,Nexen Inc.
XTSE/MYG,MethylGene Inc
XTSE/NA_PR_K,National Bank Of Canada
XTSE/HII_A,Homburg Invest Inc
XTSE/WN_PR_B,George Weston Ltd.
XTSE/TRY,Troy Resources Limited
XTSE/SFI_UN,Sprott Strategic Fixed Income Fund
XTSE/OBF_UN,O`Leary BrIC-Plus Income & Growth Fund
XTSE/MRU_A,Metro Inc
XTSE/WES_PR_D,Western Financial Group Inc.
XTSE/BCX_A,BCX Split Corp.
XTSE/CLR_UN,Clearwater Seafoods Income Fund
XTSE/DGS_PR_A_1,Dividend Growth Split Corp
XTSE/BPT_UN,Boralex Power Income Fund
XTSE/HYM_UN,High Yield & Mortgage Plus Trust.
XTSE/RTK,Artek Exploration Ltd
XTSE/ZOG_B,Zargon Oil & Gas Ltd.
XTSE/SCL_B,ShawCor Ltd.
XTSE/VT,Viterra Inc
XTSE/ZDH,BMO Asset Management Inc (ZDH) Adjusted Stock Prices
XTSE/RC,RDM Corp. (RC) Adjusted Stock Prices
XTSE/WCM_B,Wilmington Capital Management (WCM_B) Adjusted Stock Prices
XTSE/AAR_UN_UADJ,Pure Industrial Real Estate Trust. (AAR.UN) Unadjusted Stock Prices
XTSE/BBD_PR_B_UADJ,Bombardier Inc. (BBD.PR.B) Unadjusted Stock Prices
XTSE/BBD_PR_C,Bombardier Inc. (BBD_PR_C) Adjusted Stock Prices
XTSE/BMO_PR_L_UADJ,Bank of Montreal (BMO.PR.L) Unadjusted Stock Prices
XTSE/BTB_UN,BTB Real Estate Investment Trust (BTB_UN) Adjusted Stock Prices
XTSE/CLG_A,BlackRock Investments Canada Inc (CLG_A) Adjusted Stock Prices
XTSE/GAF_UN,Global Alpha Worldwide Growth Fund (GAF_UN) Adjusted Stock Prices
XTSE/FDY_A_UADJ,First Trust Portfolios Canada Co. (FDY.A) Unadjusted Stock Prices
XTSE/GCM_WT_A,Gran Colombia Gold Corp (GCM_WT_A) Adjusted Stock Prices
XTSE/MRT_UN,Morguard Real Estate Investment Trust (MRT_UN) Adjusted Stock Prices
XTSE/NEW_PR_D,Newgrowth Corp. (NEW_PR_D) Adjusted Stock Prices
XTSE/MFC_PR_M,Manulife Financial Corp. (MFC_PR_M) Adjusted Stock Prices
XTSE/TTH_UADJ,Transition Therapeutics Inc. (TTH) Unadjusted Stock Prices
XTSE/CEU,Canadian Energy Services & Technology Corp (CEU) Adjusted Stock Prices
XTSE/EXN,Excellon Resources Inc (EXN) Adjusted Stock Prices
XTSE/BNS,Bank Of Nova Scotia (BNS) Adjusted Stock Prices
XTSE/BAN_UADJ,Bannerman Resources Ltd (BAN) Unadjusted Stock Prices
XTSE/ENB_PR_B_UADJ,Enbridge Inc (ENB.PR.B) Unadjusted Stock Prices
XTSE/BPO_PR_U_UADJ,Brookfield Office Properties Inc (BPO.PR.U) Unadjusted Stock Prices
XTSE/CSH_UN,Chartwell Retirement Residences (CSH_UN) Adjusted Stock Prices
XTSE/GRT_UN_UADJ,Granite Real Estate Investment Trust (GRT.UN) Unadjusted Stock Prices
XTSE/ENT_UADJ,ENTREC Corp (ENT) Unadjusted Stock Prices
XTSE/HBD,Horizons ETFs Management (Canada) Inc (HBD) Adjusted Stock Prices
XTSE/GIL_UADJ,Gildan Activewear Inc (GIL) Unadjusted Stock Prices
XTSE/PZW_UADJ,Invesco Canada Ltd (PZW) Unadjusted Stock Prices
XTSE/EQB,Equitable Group Inc. (EQB) Adjusted Stock Prices
XTSE/FOR_UADJ,Fortune Bay Corp (FOR) Unadjusted Stock Prices
XTSE/NVC,Neovasc Inc (NVC) Adjusted Stock Prices
XTSE/ETP_A_UADJ,First Trust Portfolios Canada Co. (ETP.A) Unadjusted Stock Prices
XTSE/FQC_UADJ,First Asset Fund Corp (FQC) Unadjusted Stock Prices
XTSE/HSL_A,Horizons ETFs Management (Canada) Inc (HSL_A) Adjusted Stock Prices
XTSE/GTX,Gran Tierra Exchangeco Inc (GTX) Adjusted Stock Prices
XTSE/HCN_UADJ,Horizons ETFs Management (Canada) Inc (HCN) Unadjusted Stock Prices
XTSE/GMX,"Globex Mining Enterprises, Inc. (GMX) Adjusted Stock Prices"
XTSE/INO_UN,Inovalis Real Estate Investment Trust (INO_UN) Adjusted Stock Prices
XTSE/HSU_UADJ,Horizons ETFs Management (Canada) Inc (HSU) Unadjusted Stock Prices
XTSE/HEX_A_UADJ,Horizons ETFs Management (Canada) Inc (HEX.A) Unadjusted Stock Prices
XTSE/HZU_UADJ,Horizons ETFs Management (Canada) Inc (HZU) Unadjusted Stock Prices
XTSE/NFI_UADJ,New Flyer Industries Inc. (NFI) Unadjusted Stock Prices
XTSE/I,Intellipharmaceutics International Inc (I) Adjusted Stock Prices
XTSE/PBI_B,Purpose Investments Inc (PBI_B) Adjusted Stock Prices
XTSE/LBS_UADJ,Life & Banc Split Corp (LBS) Unadjusted Stock Prices
XTSE/TXG,Torex Gold Resources Inc (TXG) Adjusted Stock Prices
XTSE/RBN_UN_UADJ,Blue Ribbon Income Fund (RBN.UN) Unadjusted Stock Prices
XTSE/NIF_UN_UADJ,Noranda Income Fund (NIF.UN) Unadjusted Stock Prices
XTSE/PDF,Purpose Investments Inc (PDF) Adjusted Stock Prices
XTSE/SEA,"Seabridge Gold, Inc. (SEA) Adjusted Stock Prices"
XTSE/VSC_UADJ,Vanguard Investments Canada Inc (VSC) Unadjusted Stock Prices
XTSE/RME,Rocky Mountain Dealerships Inc (RME) Adjusted Stock Prices
XTSE/TRI_PR_B_UADJ,Thomson-Reuters Corp (TRI.PR.B) Unadjusted Stock Prices
XTSE/WPK_UADJ,"Winpak, Ltd. (WPK) Unadjusted Stock Prices"
XTSE/VXS,ViXS Systems Inc. (VXS) Adjusted Stock Prices
XTSE/XSH_UADJ,BlackRock Asset Management Canada Ltd (XSH) Unadjusted Stock Prices
XTSE/ZJG,BMO Asset Management Inc (ZJG) Adjusted Stock Prices
XTSE/TDS_C,TD Split Inc.
XTSE/MPI_UADJ,Metals Plus Income Corp (MPI) Unadjusted Stock Prices
XTSE/WJA_A_UADJ,Westjet Airlines Ltd (WJA.A) Unadjusted Stock Prices
XTSE/NPF_DB_A,Newport Partners Income Fund (NPF.DB.A) Adjusted Stock Prices
XTSE/ACE,Ace Aviation Holding Inc (ACE) Adjusted Stock Prices
XTSE/ABK_WT,Allbanc Split Corp (ABK.WT) Adjusted Stock Prices
XTSE/BC_PR_C,Bell Canada (BC.PR.C) Adjusted Stock Prices
XTSE/OCY_WT,O Leary Canadian Income Opportunities Fund (OCY.WT) Adjusted Stock Prices
XTSE/APV_WT_A,Arise Technologies Corp (APV.WT.A) Adjusted Stock Prices
XTSE/FIT_WT_A,International Financial Income and Growth Trust (FIT.WT.A) Adjusted Stock Prices
XTSE/EN,Energy Split Corp. II Inc. (EN) Adjusted Stock Prices
XTSE/IDL_RT,Imaging Dynamics Company Ltd (IDL.RT) Adjusted Stock Prices
XTSE/ENM,Energem Resources Inc. (ENM) Adjusted Stock Prices
XTSE/HIZ,Horizons ETFs Management (Canada) Inc (HIZ) Adjusted Stock Prices
XTSE/PMT_DB,Paramount Energy Trust (PMT.DB) Adjusted Stock Prices
